ID,ADDRESS,TOWN,INTERSECTION,CLASSIFIED,GRADE
413,MASSACHUSETTS,CAMBRIDGE,,12/2/14,3
414,FRANKLIN,DARTMOUTH,@ CHESTNUT ST,12/2/14,3
415,107 ROUNDTOP,FRAMINGHAM,,12/2/14,3
416,17 JOYCE,HYDE PARK,,12/2/14,3
417,451 BOLTON,MARLBORO,,12/2/14,3
418,286 EAST BOSTON POST,MARLBORO,,12/2/14,3
419,496 EAST BOSTON POST,MARLBORO,,12/2/14,3
420,349 BELLEVILLE,NEW BEDFORD,,12/2/14,3
421,399 WHITNEY,NORTHBORO,,12/2/14,3
422,21 GENERAL,SHREWSBURY,,12/2/14,3
423,32 EAGLE,WORCESTER,,12/2/14,3
424,61 EAGLE,WORCESTER,,12/2/14,3
425,87 EAGLE,WORCESTER,,12/2/14,3
426,OPP 46 EAGLE,WORCESTER,,12/2/14,3
427,29 FALMOUTH,WORCESTER,,12/2/14,3
428,19 FIRGLADE,WORCESTER,,12/2/14,3
429,90 HOLDEN,WORCESTER,,12/2/14,3
430,MAIN,WORCESTER,,12/2/14,3
431,11 MATTSON,WORCESTER,,12/2/14,3
432,7 MATTSON,WORCESTER,,12/2/14,3
433,5 MILLBROOK,WORCESTER,,12/2/14,3
434,3 MOSS,WORCESTER,,12/2/14,3
435,359 SHREWSBURY,WORCESTER,,12/2/14,3
436,151 WEST BOYLSTON,WORCESTER,,12/2/14,3
437,2 WILLARD,WORCESTER,,12/2/14,3
438,28 HURON,CAMBRIDGE,,12/1/14,3
439,19 MEADOW,DARTMOUTH,,12/1/14,3
440,HYDE PARK,HYDE PARK,,12/1/14,3
441,MEADOW,MARLBORO,,12/1/14,3
442,81 RAFFAELE,MARLBORO,,12/1/14,3
443,UNION,MARLBORO,,12/1/14,3
444,87 ASHLEY,NEW BEDFORD,,12/1/14,3
445,1079 BRALEY,NEW BEDFORD,,12/1/14,3
446,10 CHURCH,NORTHBORO,,12/1/14,3
447,ALMONT,WORCESTER,@ HAMILTON ST,12/1/14,3
448,5-7 FRONGILLO-FARMS,WORCESTER,,12/1/14,3
449,1432 MAIN,WORCESTER,,12/1/14,3
450,1442 MAIN,WORCESTER,,12/1/14,3
451,1477 MAIN,WORCESTER,,12/1/14,3
452,1511 MAIN,WORCESTER,,12/1/14,3
453,MAIN,WORCESTER,,12/1/14,3
454,MAIN,WORCESTER,,12/1/14,3
455,MAIN,WORCESTER,,12/1/14,3
456,MAIN,WORCESTER,,12/1/14,3
457,MAIN,WORCESTER,,12/1/14,3
458,MAIN,WORCESTER,,12/1/14,3
459,MAIN,WORCESTER,,12/1/14,3
460,310 PLANTATION,WORCESTER,,12/1/14,3
461,18 EXPLORERS,HOLDEN,,11/28/14,3
462,176 RESERVOIR,HOLDEN,,11/28/14,3
463,562 SHREWSBURY,HOLDEN,,11/28/14,3
464,41 WINFIELD,HOLDEN,,11/28/14,3
465,81 WINFIELD,HOLDEN,,11/28/14,3
466,93 WINFIELD,HOLDEN,,11/28/14,3
467,WINFIELD,HOLDEN,,11/28/14,3
468,42 BOUDREAU,MARLBORO,,11/28/14,3
469,35 EVELINA,MARLBORO,,11/28/14,3
470,242 HUDSON,MARLBORO,,11/28/14,3
471,10 PETERS,MARLBORO,,11/28/14,3
472,20 PORTER,MARLBORO,,11/28/14,3
473,98 SANDINI,MARLBORO,,11/28/14,3
474,41 SCHOFIELD,MARLBORO,,11/28/14,3
475,49 WARREN,MARLBORO,,11/28/14,3
476,31 COMMONWEALTH,WORCESTER,,11/28/14,3
477,ENID,WORCESTER,@ BENHAM ST,11/28/14,3
478,93 STANDISH,WORCESTER,,11/28/14,3
479,339 HOLDEN,HOLDEN,,11/26/14,3
480,81 HOLDEN,HOLDEN,,11/26/14,3
481,1779 MAIN,HOLDEN,,11/26/14,3
482,MAIN,HOLDEN,,11/26/14,3
483,39 OAK,HOLDEN,,11/26/14,3
484,59 PAUGUS,HOLDEN,,11/26/14,3
485,90 WOODRIDGE,HOLDEN,,11/26/14,3
486,WOODRIDGE,HOLDEN,,11/26/14,3
487,21 LINCOLN,MARLBORO,,11/26/14,3
488,52 CHANDLER,MARLBORO,,11/26/14,3
489,2 HAYDEN,MARLBORO,,11/26/14,3
490,33 HAYES MEMORIAL,MARLBORO,,11/26/14,3
491,84 HIGHLAND,MARLBORO,,11/26/14,3
492,131 LEOLEIS,MARLBORO,,11/26/14,3
493,5 LINCOLN,MARLBORO,,11/26/14,3
494,71 RICE,MARLBORO,,11/26/14,3
495,168 RIDGE,MARLBORO,,11/26/14,3
496,16 MAINE,NATICK,,11/26/14,3
497,8 MAINE,NATICK,,11/26/14,3
498,20 OVERBROOK,NATICK,,11/26/14,3
