ID,ADDRESS,TOWN,INTERSECTION,REPAIRED,GRADE
166,61-63 FAYERWEATHER,CAMBRIDGE,,24-Jan-15,1
167,28 WHITNEY,NORTHBORO,,24-Jan-15,1
168,379 AMERICA,ASHLAND,,4-Feb-15,2
169,1093 WEST BOYLSTON,WORCESTER,,26-Jan-15,1
170,36 SCHOOL,MILFORD,@ SPRUCE ST,4-Mar-15,2
171,87 PLYMOUTH,NEW BEDFORD,ROCKDALE AVE,4-Jun-15,2
172,KIDDER,SOMERVILLE,@ HIGHLAND RD,26-Jan-15,1
173,70-72 HAMILTON,WORCESTER,ALMONT AVE,26-Jan-15,1
174,1093 WEST BOYLSTON,WORCESTER,,26-Jan-15,1
175,150 GROVE,WORCESTER,LANCASTER ST,13-Feb-15,2
176,10 ASHLEY,DARTMOUTH,ROGERS ST,18-Feb-15,2
177,PHILLIPS BROOKS,WESTWOOD,DOWNEY ST,25-Feb-15,2
178,226 BELKNAP,FRAMINGHAM,MILL ST,27-Jan-15,1
179,48 ADAM WHEELER,HOLLISTON,,28-Jan-15,2
180,32 IRVING,WORCESTER,,28-Jan-15,1
181,83 AMES,DEDHAM,,29-Jan-15,2
182,28 ARLINGTON,HYDE PARK,PIERCE ST,29-Jan-15,1
183,13 VALS,MARLBORO,,29-Jan-15,2
184,13 STRATFORD,NATICK,,29-Jan-15,1
185,26 MIDDLE,DARTMOUTH,BRIDGE ST,4-Feb-15,2
186,982 HILLCREST,NEW BEDFORD,RIDGEWOOD RD,18-Feb-15,2
187,151 EDGEWATER,FRAMINGHAM,BEXLEY RD,3-Mar-15,2
188,79 BEACON,FRAMINGHAM,,30-Jan-15,1
189,46 DELMAR,NORTHBRIDGE,,30-Jan-15,1
190,309 WOOD,HYDE PARK,,12-Feb-15,2
191,787 BROADWAY,SOMERVILLE,WARNER ST,24-Mar-15,2
192,108 WAVERLY,ASHLAND,,1-Apr-15,2
193,13 METROPOLITAN,ASHLAND,,31-Jan-15,1
194,121 PLANTATION,WORCESTER,CLARENDON ST,9-Mar-15,2
195,38-40 MINTHORNE,WORCESTER,CLIVE ST,1-Feb-15,1
196,MURRAY,WORCESTER,@ DALE ST,2-Feb-15,1
197,244 PLEASANT,FRAMINGHAM,,3-Feb-15,1
198,86 HIGHLAND,MILFORD,,3-Feb-15,2
199,58 DAY,SOMERVILLE,HERBERT ST,3-Feb-15,1
200,7 JUDSON,WORCESTER,,3-Feb-15,1
201,35 DAVIS-BROOK,NATICK,WOODLAND RD,17-Mar-15,2
202,WALDEN,CAMBRIDGE,@ MASS AVE,4-Feb-15,1
203,72A SECOND,FRAMINGHAM,BEAVER PARK TER,4-Feb-15,1
204,18 MAIN,FRAMINGHAM,GRANITE ST,4-Feb-15,1
205,58 DAY,SOMERVILLE,HERBERT ST,4-Feb-15,1
206,1 NEW BOND,WORCESTER,W. BOYLSTON ST,4-Feb-15,1
207,1480 CENTRAL,NEEDHAM,MARK TREE RD,18-Feb-15,2
208,41 WINTHROP,CAMBRIDGE,DUNSTER ST,5-Feb-15,1
209,DAY,SOMERVILLE,HERBERT ST,5-Feb-15,1
210,10 MERRIFIELD,WORCESTER,,5-Feb-15,1
211,27 WABASH,WORCESTER,,5-Feb-15,1
212,MERRIFIELD,WORCESTER,@ ELLIOTT ST,12-Feb-15,2
213,166 UNION,ASHLAND,@ COLUMBUS AVE,13-Mar-15,2
214,108 WAVERLY,ASHLAND,,1-Apr-15,2
215,308 HURLEY,CAMBRIDGE,,6-Feb-15,1
216,63-77 CEDAR,DEDHAM,,6-Feb-15,1
217,14 MAIN,FRAMINGHAM,GRANITE ST,6-Feb-15,2
218,18 MAIN,FRAMINGHAM,GRANITE ST,6-Feb-15,1
219,16 BEAVER PARK,FRAMINGHAM,,6-Feb-15,1
220,492 GEORGETOWN,HYDE PARK,,6-Feb-15,1
221,1070 BRALEY,NEW BEDFORD,,6-Feb-15,1
222,11 LATISQUAMA,SOUTHBORO,,6-Feb-15,1
223,40 BELMONT,WORCESTER,FOUNTAIN ST,6-Feb-15,1
224,78.5 ELM,WORCESTER,FRUIT ST,6-Feb-15,1
225,37 WEST WALNUT,MILFORD,,7-Feb-15,1
226,19-20 MARGIN,HYDE PARK,,7-Feb-15,1
227,MILL,WORCESTER,@ S. BUFFUM ST,7-Feb-15,1
228,67 BOWKER,WORCESTER,,7-Feb-15,1
229,468 FRANKLIN,WORCESTER,NORFOLK STREET,10-Feb-15,2
230,902 TERRY,NEW BEDFORD,ACUSHNET AVENUE,2-Mar-15,2
231,85 RUSSELLS MILLS,DARTMOUTH,CHERRY ST,13-Mar-15,2
232,90 LINCOLN,FRAMINGHAM,HENRY ST,29-Jun-15,2
233,68 EAST CENTRAL,NATICK,DEWEY ST,8-Feb-15,1
234,54 GREENBRIER,NEW BEDFORD,,8-Feb-15,1
235,6 HEMINGWAY,SHREWSBURY,,8-Feb-15,1
236,CHANDLER,WORCESTER,@ MURRAY AVE,8-Feb-15,1
237,41 MILL,MARION,WAREHAM RD,9-Feb-15,2
238,248 WATER,PLYMOUTH,,9-Feb-15,1
239,PROVIDENCE,WORCESTER,@ MARION AVE,12-Feb-15,2
240,17 RIVER,MATTAPOISETT,RANDALL LN,19-Feb-15,2
241,RIDGEWOOD,NEW BEDFORD,@ LITTLE OAK RD,3-Mar-15,2
242,26 RUSTCRAFT,DEDHAM,,9-Feb-15,1
243,14 DUGGAN,FRAMINGHAM,,9-Feb-15,2
