ID,COMPOUND ADDRESS,ADDRESS,TOWN,INTERSECTION,DATE REPAIRED,GRADE
51a59ba53d5e357f15df27f12dd7619b,861 MAIN ST WEYMOUTH MA,861 MAIN ST,WEYMOUTH,,9/15/16,3
8659b79a197a8e907cfa75f2452a4748,863 WASHINGTON ST DORCHESTER MA,863 WASHINGTON ST,DORCHESTER,,2/10/16,1
c5d656b9a3a2b34272604592df0c8114,864 HUMPHREY ST SWAMPSCOTT MA,864 HUMPHREY ST,SWAMPSCOTT,,6/30/16,2
a045bd4da174c5228547dcb63d26816b,87 BELLEVUE RD LYNN MA,87 BELLEVUE RD,LYNN,,8/22/16,2A
5f6f8bbb37c2ef92274bb098ca2d427a,87 BELLEVUE RD LYNN MA,87 BELLEVUE RD,LYNN,,9/14/16,2
81c82d4e475ea083abd94a2b497917a3,87 GLENWAY ST DORCHESTER MA,87 GLENWAY ST,DORCHESTER,,7/29/16,2A
d41f529d8a27da1a5be0de7867391bfc,87 HAVERHILL RD AMESBURY MA,87 HAVERHILL RD,AMESBURY,,11/18/16,2
81300097bab5e7c257d0c128f6d8104a,87 KERNWOOD AVE BEVERLY MA,87 KERNWOOD AVE,BEVERLY,,5/16/16,1
25cd3bdebab08690eee42c9b534ca257,87 LAGRANGE ST WEST ROXBURY MA,87 LAGRANGE ST,WEST ROXBURY,,8/26/16,2A
70fe9f12aae6972d7456e264fe60aefa,87 LAGRANGE ST WEST ROXBURY MA,87 LAGRANGE ST,WEST ROXBURY,,12/15/16,2
9c270c560fa54d3dc4dc8feb6da19123,87 MOUNT IDA RD DORCHESTER MA,87 MOUNT IDA RD,DORCHESTER,,8/2/16,2
a434513612a1e468cef6f84f8684e8fc,87 OLD CONNECTICUT PATH WAYLAND MA,87 OLD CONNECTICUT PATH,WAYLAND,,5/18/16,1
fb1912f044538798599df0014bba5fff,87 PARK ST DORCHESTER MA,87 PARK ST,DORCHESTER,,5/19/16,1
3e7b1d88bcd48a6176dc1903562d71c9,87 PINE ST MALDEN MA,87 PINE ST,MALDEN,,6/8/16,1
8f89c8ba89e8774ee5acbcdfaed362fe,87 REVERE ST BOSTON MA,87 REVERE ST,BOSTON,,12/20/16,1
1585e1d437c6470bc57871e2cc921705,87 TEN HILLS RD SOMERVILLE MA,87 TEN HILLS RD,SOMERVILLE,,8/18/16,2
2c55004c8a57e1194e2300abf6c65940,87 TRENTON ST EAST BOSTON MA,87 TRENTON ST,EAST BOSTON,,8/30/16,2
f67f89e1bda9ec5f954689aacf4af353,87 WOODVILLE ST EVERETT MA,87 WOODVILLE ST,EVERETT,,10/17/16,1
f2848c7a9581de3c6661bc8553b173af,870 E 6TH ST SOUTH BOSTON MA,870 E 6TH ST,SOUTH BOSTON,,12/22/16,1
1c3c37ba676ffa6cf81813da9c714bef,870 MOODY ST WALTHAM MA,870 MOODY ST,WALTHAM,,4/23/16,1
277dfeef23ab21ead95ca7dbd27b0ddb,88 COTTAGE ST BROOKLINE MA,88 COTTAGE ST,BROOKLINE,,9/30/16,1
83481e0c605bd112fc7cf1fab5f2ac92,88 HINSTON RD WEYMOUTH MA,88 HINSTON RD,WEYMOUTH,,2/19/16,1
e06d022cc1b72b9a23ab87c80bcdc336,88 LEXINGTON ST WATERTOWN MA,88 LEXINGTON ST,WATERTOWN,,8/17/16,1
d3cf0a561d34464b1df9f3d8f9f57e9d,88 MOUNT VERNON ST BOSTON MA,88 MOUNT VERNON ST,BOSTON,,10/13/16,1
a23e46c29ae2cdac71ebeec927874673,88 SALMAN ST WEST ROXBURY MA,88 SALMAN ST,WEST ROXBURY,,7/27/16,2
b42b06d5de7aea8e26244bf051cf3778,88 SELDEN ST DORCHESTER MA,88 SELDEN ST,DORCHESTER,,12/27/16,3
a081473b2e77e8f5282bd8288608d3d0,882 WINTHROP AVE REVERE MA,882 WINTHROP AVE,REVERE,,4/6/16,2
d162184369d02784ffac619d0a816669,884 ADAMS ST DORCHESTER MA,884 ADAMS ST,DORCHESTER,,9/12/16,2
e0c33fc8d7b51a21835e4523a3d050ee,885 CONCORD AVE BELMONT MA,885 CONCORD AVE,BELMONT,,8/31/16,1
86b7665c55d5875614a7b46056b6d209,89 BEECH ST BRAINTREE MA,89 BEECH ST,BRAINTREE,,11/8/16,2
fbd0c3e3e570b09c1b8d689ceffc9875,89 BRYANT ST EVERETT MA,89 BRYANT ST,EVERETT,,6/29/16,2
9fc36554f58c92fd22f10ae2d80f1653,89 BURGET AVE MEDFORD MA,89 BURGET AVE,MEDFORD,,6/10/16,2
927d3d597ff8d0996a19a8bc95c7af3c,89 CARVER RD NEWTON MA,89 CARVER RD,NEWTON,,9/21/16,2A
1ac9b44acd3204ef971b751d0d6eb236,89 CLIFF ST QUINCY MA,89 CLIFF ST,QUINCY,,10/17/16,2A
e3f6484747803075e72d47a25ea8ede6,89 DOANE ST COHASSET MA,89 DOANE ST,COHASSET,,10/26/16,2
044311b68367871ec565d7da8a7e3657,89 GASTON ST MEDFORD MA,89 GASTON ST,MEDFORD,,9/10/16,1
