ID,COMPOUND ADDRESS,ADDRESS,TOWN,INTERSECTION,DATE REPAIRED,GRADE
1a6f4f0666182b0ca6e741e8416d18e9,BAKER AND ROUTE 9 SHREWSBURY MA, BAKER,SHREWSBURY,@ ROUTE 9,6/20/2016,1
e03a77d39eac9971756a910fe0d1a08a,CEDAR AND RUSSELL ST WORCESTER MA, CEDAR,WORCESTER,@ RUSSELL ST,1/8/2016,1
954ebab637d9f2d040556df24509e954,MILL AND S. BUFFUM ST WORCESTER MA, MILL,WORCESTER,@ S. BUFFUM ST,11/2/2016,1
bb42cc92cb1b7445c11afc8cad3dfd0a,BRAE AND SCONTICUT FAIRHAVEN MA, BRAE,FAIRHAVEN,@ SCONTICUT,2/1/2016,2
bb2fb13bf3a62e8b39c17ca32905ec90,PROSPECT AND SOMERVILLE SOMERVILLE MA, PROSPECT,SOMERVILLE,@ SOMERVILLE,3/24/2016,2
f2c355edd69c18c042324a08e29a28cd,PROSPECT AND SOMERVILLE SOMERVILLE MA, PROSPECT,SOMERVILLE,@ SOMERVILLE,11/21/2016,2
34ecc4a3c0f0ddb61a91c25cdc5bf213,WASHINGTON AND SOUTH ST HUDSON MA, WASHINGTON,HUDSON,@ SOUTH ST,7/7/2016,2
6b10893b5a38da4459897f3e5fe14566,CROMPTON AND SOUTHBRIDGE WORCESTER MA, CROMPTON,WORCESTER,@ SOUTHBRIDGE,10/3/2016,1
621cc5f69c3bb287fe880397d6502cde,WOOD AND SPRING ST HOPKINTON MA, WOOD,HOPKINTON,@ SPRING ST,8/22/2016,2
aebde7172de7e9118f3b7cddd6bcc2ce,MAXFIELD AND STATE ST NEW BEDFORD MA, MAXFIELD,NEW BEDFORD,@ STATE ST,2/3/2016,1
61d04470cbbefd17fcc69c2083964dce,PARKER AND SUMMER ST NEW BEDFORD MA, PARKER,NEW BEDFORD,@ SUMMER ST,8/15/2016,2
fcf0c95492a1a22d56ed890110673559,SHREWSBURY AND SUMMER ST WORCESTER MA, SHREWSBURY,WORCESTER,@ SUMMER ST,5/6/2016,1
1c47e760ddb312135e058773caef79cd,HILLMAN AND SUMMIT ST NEW BEDFORD MA, HILLMAN,NEW BEDFORD,@ SUMMIT ST,7/14/2016,2
556a1c39de5b3d04d88be008e3396405,COVE AND TRIPP ST DARTMOUTH MA, COVE,DARTMOUTH,@ TRIPP ST,10/4/2016,2
971879d5de2386cc2c356ebaa9ec77e8,BROOKLINE AND TROWBRIDGE ST CAMBRIDGE MA, BROOKLINE,CAMBRIDGE,@ TROWBRIDGE ST,9/28/2016,2
527949d4d460fcd8e9e59e8a9afef76c,MASSACHUSETTS AND TROWBRIDGE ST CAMBRIDGE MA, MASSACHUSETTS,CAMBRIDGE,@ TROWBRIDGE ST,7/6/2016,2
523f138560e26d18f26e86a57878f4b9,BOLTON AND UNION ST MARLBORO MA, BOLTON,MARLBORO,@ UNION ST,2/19/2016,1
bd9f67e2a95891884149029bc321a916,MASSACHUSETTS AND UPLAND RD CAMBRIDGE MA, MASSACHUSETTS,CAMBRIDGE,@ UPLAND RD,4/25/2016,3
0525c147ccbf3f654fc6b63851c10afc,PROVIDENCE AND UPSALA ST WORCESTER MA, PROVIDENCE,WORCESTER,@ UPSALA ST,2/11/2016,1
05c741a1aaf09538b0507b2644919506,PROVIDENCE AND UPSALA ST WORCESTER MA, PROVIDENCE,WORCESTER,@ UPSALA ST,3/14/2016,2
57161f34be9c3aa6888644e66e7a57a3,PEARL AND VALENTINE ST CAMBRIDGE MA, PEARL,CAMBRIDGE,@ VALENTINE ST,10/29/2016,2
9d1645e67d8d31220c4f5291e66d5f0b,GROVE AND VERNON ST FRAMINGHAM MA, GROVE,FRAMINGHAM,@ VERNON ST,10/11/2016,2
e25e2401ea5c3cbb35652c6d3cba1290,COVE AND VIALL ST NEW BEDFORD MA, COVE,NEW BEDFORD,@ VIALL ST,3/10/2016,2
fc036f2685e120178e74606cf40abf18,CRANSTON AND VINCENT RD DEDHAM MA, CRANSTON,DEDHAM,@ VINCENT RD,3/5/2016,2
b9f4e1bce1e22cdb1fa5e9591587c2b4,COCHITUATE AND WALSH ST FRAMINGHAM MA, COCHITUATE,FRAMINGHAM,@ WALSH ST,12/21/2016,2
