TOWN,ADDRESS,CROSS ST,LEAK GRADE,DATE REPORTED,NOTE
FAIRHAVEN,12 BLOSSOM,,3,07/24/2014,
WORCESTER,12 BRANTWOOD,,3,09/25/2014,
WORCESTER,12 BRISTOL,,3,09/25/2014,
HOPKINTON,12 CEDAR,,3,09/19/2014,
DEDHAM,12 CHESTER,,3,09/19/2016,
DEDHAM,12 CHURCH,,3,12/15/2016,
MILFORD,12 DEPOT,,3,12/15/2014,
WORCESTER,12 GLENDALE,,3,11/09/2016,
FAIRHAVEN,12 HAMLET,,3,07/28/2014,
SHREWSBURY,12 HOLMAN,,3,09/29/2015,
DEDHAM,12 MASSACHUSETTS,,3,09/04/2014,
KINGSTON,12 MONTCLAIR,,3,10/11/2016,
FRAMINGHAM,12 NORTH,,3,10/10/2013,
NATICK,12 OXBOW,,3,12/28/2016,
CAMBRIDGE,12 PRINCE,,3,08/29/2016,
MILFORD,12 PRINCETON,,3,06/25/2015,
MATTAPOISETT,12 PROSPECT,,3,09/18/2014,
MATTAPOISETT,12 RIVER,,3,09/18/2014,
MARLBORO,12 SPENSER,,3,08/26/2015,
CAMBRIDGE,12 VINCENT,,3,08/26/2014,
WORCESTER,12 WALCOTT,,3,08/03/2016,
WORCESTER,12 WINCHESTER,,3,11/01/2016,
HUDSON,12 WINTER,,3,08/28/2014,
NEEDHAM,12-14 UNION,,3,11/23/2016,
MILFORD,12-14 WALNUT,,3,11/01/2016,
WORCESTER,120 APRICOT,,3,08/14/2014,
NEW BEDFORD,120 EASTON,,3,06/04/2014,
HYDE PARK,120 GARFIELD,,3,07/13/2016,
NEEDHAM,120 LOCUST,,3,12/17/2014,
CAMBRIDGE,120 MASSACHUSETTS,,3,08/04/2016,
FAIRHAVEN,120 PLEASANT,,3,09/08/2014,
FRAMINGHAM,120 WARREN,,3,10/18/2013,
NEEDHAM,1200 GREAT PLAIN,,3,10/14/2011,
HYDE PARK,1200 HYDE PARK,,3,05/04/2015,
WORCESTER,1200 STATE,,3,12/28/2016,
WORCESTER,1200 WEST BOYLSTON,,3,09/08/2015,
CAMBRIDGE,1201 MASSACHUSETTS,,3,11/03/2016,
WORCESTER,121 ILLINOIS,,3,12/08/2014,
SOMERVILLE,1212 BROAD WAY,,3,08/27/2014,
WORCESTER,122 CLARK,,3,10/03/2014,
NEW BEDFORD,123 BEDFORD,,3,06/02/2016,
AUBURN,123 BOYCE,,3,11/04/2014,
MATTAPOISETT,123 FAIRHAVEN,,3,10/06/2014,
WORCESTER,123 FARRAR,,3,12/05/2016,
NEEDHAM,123 HIGHLAND,,3,06/11/2014,
WORCESTER,123 PLANTATION,,3,10/31/2014,
FAIRHAVEN,123 SCONTICUT NECK,,3,08/11/2014,
MARLBORO,123 WEST BOSTON POST,,3,12/09/2014,
HYDE PARK,124 CHILD,,3,05/16/2016,
WORCESTER,124 ENDICOTT,,3,12/16/2014,
WORCESTER,124 HOLDEN,,3,10/23/2014,
WORCESTER,124 MILLBURY,,3,05/06/2014,
WORCESTER,124 PAINE,,3,10/16/2014,
NATICK,1245 WORCESTER,,3,03/27/2012,
