leak Number,Reported Address,Cross Street,Town,Reported Date,15-SQ-05 Class,16-SQ-05 Class,Grade,Repaired Date,State
5568747,10 WINTHROP RD,,WELLESLEY,7/23/15,Not Discovered Yet,3,2,7/28/16,MA
7328322,10 WINTON ST,,ROSLINDALE,8/20/16,Not Discovered Yet,Not Discovered Yet,1,8/20/16,MA
7327729,100 BRIDGE ST,,BEVERLY,7/24/16,Not Discovered Yet,Not Discovered Yet,1,7/25/16,MA
7329455,100 BRIGHT ST,,WALTHAM,10/11/16,Not Discovered Yet,Not Discovered Yet,1,10/11/16,MA
7330996,100 ESSEX AVE,,GLOUCESTER,12/30/16,Not Discovered Yet,Not Discovered Yet,1,12/30/16,MA
7325357,100 ESTY FARM RD,,NEWTON,5/9/16,Not Discovered Yet,Not Discovered Yet,1,5/9/16,MA
7327827,100 HILLSIDE RD,,WATERTOWN,7/26/16,Not Discovered Yet,Not Discovered Yet,2A,9/9/16,MA
7327563,100 INDEPENDENCE WAY,,DANVERS,7/18/16,Not Discovered Yet,Not Discovered Yet,1,7/18/16,MA
7330851,100 MAPLE ST,,ROXBURY,12/22/16,Not Discovered Yet,Not Discovered Yet,1,12/23/16,MA
7324720,100 MESSINA DR,,BRAINTREE,4/19/16,Not Discovered Yet,Not Discovered Yet,1,4/19/16,MA
7329033,100 MORRISSEY BLVD,,DORCHESTER,9/22/16,Not Discovered Yet,Not Discovered Yet,1,9/22/16,MA
7330907,100 MORRISSEY BLVD,,DORCHESTER,12/27/16,Not Discovered Yet,Not Discovered Yet,1,12/27/16,MA
344371,100 NORFOLK ST,,DORCHESTER,3/6/11,3,3,2,11/18/16,MA
7323149,100 NORFOLK ST,,DORCHESTER,2/1/16,Not Discovered Yet,Not Discovered Yet,1,2/2/16,MA
7327806,100 RIVERSIDE AVE,,MEDFORD,7/27/16,Not Discovered Yet,Not Discovered Yet,1,7/27/16,MA
7328077,100 SAINT ANDREW RD,,EAST BOSTON,8/5/16,Not Discovered Yet,Not Discovered Yet,3,8/16/16,MA
7325414,100 TALMOUTH AVE,,HAVERHILL,5/10/16,Not Discovered Yet,Not Discovered Yet,1,5/10/16,MA
7329470,100 TRAIN ST,,DORCHESTER,10/12/16,Not Discovered Yet,Not Discovered Yet,1,10/13/16,MA
7326975,100 VILLAGE ST,,MARBLEHEAD,6/20/16,Not Discovered Yet,Not Discovered Yet,3,7/21/16,MA
7329430,100 WESTCHESTER RD,,JAMAICA PLAIN,10/10/16,Not Discovered Yet,Not Discovered Yet,1,10/10/16,MA
7323359,100 WEYMOUTH ST,,ROCKLAND,2/3/16,Not Discovered Yet,Not Discovered Yet,1,2/10/16,MA
7328579,100 WHITCOMB AVE,,JAMAICA PLAIN,8/30/16,Not Discovered Yet,Not Discovered Yet,2,9/27/16,MA
7327829,101 ABIGAIL ADAMS CIR,,WEYMOUTH,7/25/16,Not Discovered Yet,Not Discovered Yet,2,9/9/16,MA
7329512,101 BOXMILL RD,,BOXBOROUGH,10/14/16,Not Discovered Yet,Not Discovered Yet,1,10/15/16,MA
7323395,101 DERBY ST,,HINGHAM,2/12/16,Not Discovered Yet,Not Discovered Yet,1,2/12/16,MA
7329406,101 EDGEWATER DR,,WAKEFIELD,10/8/16,Not Discovered Yet,Not Discovered Yet,1,10/9/16,MA
7322881,101 ELM ST,,WALTHAM,1/22/16,Not Discovered Yet,Not Discovered Yet,2,11/22/16,MA
7324780,101 FAIROAKS LN,,COHASSET,4/21/16,Not Discovered Yet,Not Discovered Yet,1,4/21/16,MA
7330659,101 FELLS AVE,,MEDFORD,12/13/16,Not Discovered Yet,Not Discovered Yet,1,12/13/16,MA
7322925,101 GERARD ST,,ROXBURY,1/26/16,Not Discovered Yet,Not Discovered Yet,1,2/24/16,MA
7325061,101 HOLLINGSWORTH ST,,DORCHESTER,4/26/16,Not Discovered Yet,Not Discovered Yet,2,9/24/16,MA
7326911,101 LONDON ST,,EAST BOSTON,6/27/16,Not Discovered Yet,Not Discovered Yet,1,6/27/16,MA
7327902,101 LYNNFIELD ST,,LYNN,6/9/16,Not Discovered Yet,Not Discovered Yet,2,8/16/16,MA
7327284,101 MEDFORD ST,,MEDFORD,7/11/16,Not Discovered Yet,Not Discovered Yet,1,7/11/16,MA
7323247,101 MONTCLAIR AVE,,WEST ROXBURY,2/4/16,Not Discovered Yet,Not Discovered Yet,1,2/4/16,MA
7326424,101 NEPONSET AVE,,ROSLINDALE,6/10/16,Not Discovered Yet,Not Discovered Yet,2A,6/21/16,MA
7330508,101 PINE ST,,MANCHESTER,12/5/16,Not Discovered Yet,Not Discovered Yet,1,12/5/16,MA
7327735,101 PINE ST,,WOBURN,7/20/16,Not Discovered Yet,Not Discovered Yet,2A,10/13/16,MA
7327174,101 QUINCY SHORE DR,,QUINCY,7/6/16,Not Discovered Yet,Not Discovered Yet,1,7/6/16,MA
343404,101 REGIS RD,,BRAINTREE,1/31/11,3,3,2,10/10/16,MA
7322919,101 RIVERSIDE AVE,,MEDFORD,1/19/16,Not Discovered Yet,Not Discovered Yet,1,1/28/16,MA
7325605,101 RIVERSIDE AVE,,MEDFORD,5/17/16,Not Discovered Yet,Not Discovered Yet,1,5/18/16,MA
7326031,101 VERNON ST,,NEWTON,5/31/16,Not Discovered Yet,Not Discovered Yet,1,6/1/16,MA
7321979,101 WASHINGTON ST,,SOMERVILLE,11/18/15,Not Discovered Yet,2,2,5/24/16,MA
7325655,101 WILMINGTON RD,,BURLINGTON,5/17/16,Not Discovered Yet,Not Discovered Yet,3,6/2/16,MA
7322615,102 BELLEVUE RD,,SWAMPSCOTT,1/11/16,Not Discovered Yet,Not Discovered Yet,1,1/11/16,MA
7327922,102 COOLEDGE ST,,REVERE,8/2/16,Not Discovered Yet,Not Discovered Yet,1,8/2/16,MA
7324490,102 GLEZEN LN,,WAYLAND,4/8/16,Not Discovered Yet,Not Discovered Yet,1,4/8/16,MA
7328165,102 HALE ST,,BEVERLY,8/13/16,Not Discovered Yet,Not Discovered Yet,1,8/13/16,MA
7326521,102 MORELAND ST,,ROXBURY,6/15/16,Not Discovered Yet,Not Discovered Yet,1,6/15/16,MA
7326741,102 OCEAN AVE,,MARBLEHEAD,6/22/16,Not Discovered Yet,Not Discovered Yet,1,6/25/16,MA
7329356,102 ROBERTS ST,,QUINCY,10/6/16,Not Discovered Yet,Not Discovered Yet,1,10/6/16,MA
7330749,102 SALEM ST,,MALDEN,12/17/16,Not Discovered Yet,Not Discovered Yet,1,12/18/16,MA
7329935,102 STRATFORD RD,,MELROSE,10/29/16,Not Discovered Yet,Not Discovered Yet,2,11/15/16,MA
7323153,102 TUCKERS LN,,HINGHAM,2/1/16,Not Discovered Yet,Not Discovered Yet,1,2/1/16,MA
7327473,102 WILLIAMS ST,,CHELSEA,7/14/16,Not Discovered Yet,Not Discovered Yet,1,7/14/16,MA
7323121,1020 SOUTHERN AR,,QUINCY,2/1/16,Not Discovered Yet,Not Discovered Yet,1,2/4/16,MA
7323122,1020 SOUTHERN AR,,QUINCY,2/1/16,Not Discovered Yet,Not Discovered Yet,1,2/2/16,MA
