ID,ADDRESS,TOWN,INTERSECTION,CLASSIFIED,GRADE
104328,417 LYNNWAY ST ,LNN ,SHEPARD ST ,9/9/96,3
104453,1744 COLUMBIA RD ,SBO ,,9/24/96,3
104742,133 LYNNFIELD ST ,LNN ,,9/16/96,3
104782,21 WINDING WY ,ROC ,,9/24/96,3
104784,109 HARTSUFF ST ,ROC ,,9/24/96,3
104853,ADAMS ST ,MIL ,CENTRE ST ,10/1/96,3
104865,17 BRAE RD ,WEY ,,9/26/96,3
105304,110 THORNTON ST ,ROX ,,10/1/96,3
105375,16 COOLIDGE AV ,WEY ,,9/6/96,3
105380,31 PRESIDENTS RD ,WEY ,,9/5/96,3
105387,68 WILSON AV ,WEY ,,9/5/96,3
105389,399 COMMERCIAL ST ,WEY ,,9/6/96,3
105390,327 COMMERCIAL ST ,WEY ,,9/6/96,3
105410,76 PHILLIPS ST ,WEY ,,9/4/96,3
105416,20 TREMONT ST ,WEY ,,9/3/96,3
105445,118 ALBION ST ,ROC ,,8/9/96,3
105458,102 PLAIN ST ,BRA ,,8/14/96,3
105469,12 HANIAN DR ,WEY ,,9/19/96,3
105480,494 EAST ST ,WEY ,,9/24/96,3
105481,398 EAST ST ,WEY ,,9/24/96,3
105491,12 E WATER ST ,ROC ,,8/16/96,3
105503,139 BEAL ST ,ROC ,,8/23/96,3
105538,21 PUTNAM ST ,WEY ,,9/20/96,3
105543,82 VINE ST ,WEY ,,9/24/96,3
105562,37 KING AV ,WEY ,,10/7/96,3
105595,ROCKWELL AV ,MIL ,WASHINGTON ST ,10/4/96,3
105611,171 SEA ST ,WEY ,,10/2/96,3
105628,122 WEBSTER ST ,ROC ,,9/12/96,3
105645,234 POND ST ,ROC ,,9/9/96,3
105662,1660 WASHINGTON ST ,BRA ,,8/26/96,3
105670,727 UNION ST ,ROC ,,8/29/96,3
105764,200 LYNNFIELD ST ,LNN ,SUPERIOR ROAST BEEF ,9/26/96,3
105839,215 MAIN ST ,WAL ,,10/8/96,3
105998,119 DALE ST ,WAL ,,10/17/96,3
