ID,ADDRESS,TOWN,INTERSECTION,REPAIRED,GRADE
410,RIDGEWAY,DEDHAM,AT GRANITE,12/2/14,2
411,15 CHICKERING,DEDHAM,,12/3/14,2
412,46 SOUTHGATE,DEDHAM,,12/3/14,2
413,31 WASHINGTON,DEDHAM,,12/4/14,2
414,102 ASHCROFT,DEDHAM,,12/12/14,2
415,OTIS,DEDHAM,AT EAST ST,12/12/14,2
416,DALE,DEDHAM,,12/13/14,2
417,915 HIGH,DEDHAM,,12/13/14,2
418,WASHINGTON,DEDHAM,AT STAR LN,12/16/14,2
419,EASTERN,DEDHAM,,12/17/14,2
420,25 STIVALETTA,DEDHAM,,12/18/14,2
421,19 WILLARD,DEDHAM,,12/20/14,2
422,90 SUNSET,DEDHAM,,12/22/14,2
423,OPP 249 MILTON,DEDHAM,,12/23/14,2
424,VILLAGE,DEDHAM,AT ALLINDALE WAY,12/26/14,2
425,88 SPRAGUE,DEDHAM,,12/27/14,2
426,BRIDGE,DEDHAM,,12/27/14,2
427,92 CURVE,DEDHAM,,12/27/14,1
428,UPLAND,DEDHAM,AT SPRAGUE ST,12/29/14,2
429,40-46 BAY,FAIRHAVEN,,1/7/14,2
430,10 KANE,FAIRHAVEN,,1/11/14,1
431,60 HATHAWAY,FAIRHAVEN,,1/13/14,1
432,17 HASTE,FAIRHAVEN,,1/17/14,2
433,55 JERUSALEM,FAIRHAVEN,,1/21/14,2
434,22 EVERGREEN,FAIRHAVEN,,2/7/14,2
435,539 SCONTICUT-NECK,FAIRHAVEN,,2/14/14,2
436,13 SPRINGHILL,FAIRHAVEN,,2/25/14,2
437,HUTTLESTON,FAIRHAVEN,AT ARSENE ST,2/25/14,2
438,518 SCONTICUT-NECK,FAIRHAVEN,,3/21/14,2
439,145 PLEASANT,FAIRHAVEN,,4/22/14,1
440,17 COE,FAIRHAVEN,,4/23/14,2
441,14-34 BERDON,FAIRHAVEN,,5/7/14,1
442,155 HUTTLESTON,FAIRHAVEN,,5/12/14,1
443,5 STEPHEN,FAIRHAVEN,,5/14/14,2
444,CHURCH,FAIRHAVEN,AT PLEASANT ST,5/21/14,2
445,2 BAY-VIEW,FAIRHAVEN,,5/27/14,2
446,TURNER,FAIRHAVEN,AT FARMFIELD ST,5/28/14,2
447,68 HEDGE,FAIRHAVEN,,6/16/14,1
448,54 WASHINGTON,FAIRHAVEN,,6/17/14,1
449,2 DAY,FAIRHAVEN,,6/26/14,2
450,28 SMITH,FAIRHAVEN,,6/27/14,2
451,EDDY,FAIRHAVEN,,7/8/14,2
452,30 LINDEN,FAIRHAVEN,,7/15/14,1
453,276 HUTTLESTON,FAIRHAVEN,,7/31/14,1
454,GREEN,FAIRHAVEN,AT PHOENIX ST,8/5/14,2
455,GREEN,FAIRHAVEN,AT 9 PHOENIX ST,8/5/14,2
456,44 GROVE,FAIRHAVEN,,8/4/14,2
457,16 RESERVATION,FAIRHAVEN,,8/26/14,2
458,17 SUMMER,FAIRHAVEN,,9/12/14,
459,22 BROWN,FAIRHAVEN,,9/18/14,2
460,17 COE,FAIRHAVEN,,9/23/14,2
461,28 HAMLET,FAIRHAVEN,,9/26/14,2
462,2 HAMLET,FAIRHAVEN,,9/26/14,2
463,22 HATHAWAY,FAIRHAVEN,,9/26/14,2
464,35 POINT,FAIRHAVEN,,10/4/14,1
465,118 WEEDEN,FAIRHAVEN,,10/8/14,2
466,137 LAUREL,FAIRHAVEN,,10/8/14,1
467,2 RYLE,FAIRHAVEN,,10/9/14,1
