ID,ADDRESS,TOWN,INTERSECTION,REPAIRED,GRADE,CAUSE
261138,31 GUINAN ST ,WAL ,,11/19/14,3, OTHER
261138,31 GUINAN ST ,WAL ,,11/19/14,3, OTHER
261153,150 FRANKLIN ST ,BRA ,,12/4/14,2, CORROSION
261153,150 FRANKLIN ST ,BRA ,,12/4/14,2, CORROSION
261688,5 POND ST ,MAR ,LIME ST ,4/9/14,2, OTHER
261688,5 POND ST ,MAR ,LIME ST ,4/9/14,2, OTHER
261921,39 CHARNWOOD RD ,MED ,,11/10/14,2, CORROSION
261921,39 CHARNWOOD RD ,MED ,,11/10/14,2, CORROSION
262327,OPP WICKLOW AV ,MED ,,11/25/14,2, OTHER
262327,OPP WICKLOW AV ,MED ,,11/25/14,2, OTHER
262431,12 CONANT RD ,MAR ,,11/22/14,2, OTHER
262431,12 CONANT RD ,MAR ,,11/22/14,2, OTHER
263701,159 MAPLE ST ,DAN ,,11/11/14,, CORROSION
263701,159 MAPLE ST ,DAN ,,11/11/14,, CORROSION
264342,49 FOSTER ST ,EVE ,,8/28/14,, CORROSION
264342,49 FOSTER ST ,EVE ,,8/28/14,, CORROSION
313735,36 HARRISON ST ,QUI ,FOLLETT ST ,4/14/14,2, OTHER
313735,36 HARRISON ST ,QUI ,FOLLETT ST ,4/14/14,2, OTHER
313764,34 MOUNT VERNON ST ,QUI ,QUARRY ST ,12/13/14,3, OTHER
315649,3 HOLMES ST ,QUI ,W SQUANTUM ST ,11/20/14,2, CORROSION
315740,156 CHURCH ST ,MIL ,EMERSON RD ,12/16/14,2, OTHER
316055,18 KILBY ST ,QUI ,SEA ST ,11/19/14,3, OTHER
316609,409 FERRY ST ,EVE ,SHUTE ST ,10/13/14,, CORROSION
317345,1011 WASHINGTON ST ,NEW ,BROOKSIDE AVE ,7/11/14,2, OTHER
318215,BEALE ST ,QUI ,ARLINGTON ST ,12/17/14,2, OTHER
318317,13 RUSHMORE ST ,BRI ,ACADEMY HILL RD ,2/4/14,3, CORROSION
319354,22 CHAPEL ST ,GLO ,DAVIS ST ,3/26/14,3, OTHER
319994,110 PURDON AVE ,LNN ,KESLAR AVE ,4/7/14,2, OTHER
319994,110 PURDON AVE ,LNN ,KESLAR AVE ,4/7/14,2, OTHER
319994,110 PURDON AVE ,LNN ,KESLAR AVE ,4/7/14,2, OTHER
320285,14 WOLCOTT ST ,MED ,AUSTIN RD ,10/2/14,2, CORROSION
321090,43 DOUGLAS RD ,BEL ,GALE RD ,11/11/14,2, OTHER
321194,60 MIDDLESEX RD ,NEW ,DEVON RD ,9/3/14,2, NATURAL FORCE
321768,70 BAY STATE RD ,BEL ,GILBERT RD ,9/26/14,2, NATURAL FORCE
321862,371 DOUGLAS RD ,LOW ,KEARNEY DR ,4/8/14,3, CORROSION
322776,74 11TH ST ,LOW ,METHUEN ST ,9/29/14,2, NATURAL FORCE
322881,59 NORMAN ST ,ROC ,CONCORD ST ,5/15/14,3, CORROSION
322928,5 HEREFORD RD ,MAR ,HUMPHREY ST ,5/28/14,2, OTHER
323141,4 DOUGLAS RD ,LEX ,COOKE RD ,5/19/14,2, CORROSION
323296,166 ASPEN RD ,SWA ,FOREST AVE ,10/6/14,3, OTHER
323350,95 DOUGLAS RD ,LOW ,GLENELLYN RD W ,10/24/14,3, CORROSION
323536,20 KENDALL ST ,QUI ,PROSPECT ST ,11/15/14,2, CORROSION
323640,118 OLD COLONY AVE ,QUI ,WARREN AVE ,12/16/14,3, CORROSION
323640,118 OLD COLONY AVE ,QUI ,WARREN AVE ,12/16/14,3, CORROSION
323640,118 OLD COLONY AVE ,QUI ,WARREN AVE ,12/16/14,3, CORROSION
323640,118 OLD COLONY AVE ,QUI ,WARREN AVE ,12/16/14,3, CORROSION
323819,326 CRESCENT ST ,WAL ,ADAMS ST ,7/10/14,2, OTHER
323819,326 CRESCENT ST ,WAL ,ADAMS ST ,7/10/14,2, OTHER
323819,326 CRESCENT ST ,WAL ,ADAMS ST ,7/10/14,2, OTHER
324226,30 AGAWAM RD ,QUI ,NARRAGANSETT RD ,11/5/14,3, MATL OR WELD FAILURE
324252,11 EDGEWATER DR ,QUI ,WALL ST ,11/25/14,2, MATL OR WELD FAILURE
324252,11 EDGEWATER DR ,QUI ,WALL ST ,11/25/14,2, MATL OR WELD FAILURE
324324,885 WASHINGTON ST ,NEW ,WASHINGTON TER ,10/6/14,2, CORROSION
324532,89 MAOLIS RD ,NAH ,HOOD ST ,8/18/14,2, CORROSION
324583,231 PALMER ST ,QUI ,GRACE RD ,10/13/14,, MATL OR WELD FAILURE
324699,134 GRAND VIEW AVE ,QUI ,WARREN AVE ,2/4/14,2, OTHER
324911,9 POPLAR ST ,MAL ,RUTLAND ST ,10/24/14,2, NATURAL FORCE
325159,14 EDGEMERE AVE ,BUR ,GLEN AVE ,3/5/14,2, EQUIPMENT
325226,158 ARLINGTON ST ,QUI ,HOLBROOK RD ,12/12/14,2, OTHER
325226,158 ARLINGTON ST ,QUI ,HOLBROOK RD ,12/12/14,2, OTHER
325262,119 HAMILTON AVE ,QUI ,BOWDOIN ST ,9/16/14,2, OTHER
325280,70 CURTIS AVE ,QUI ,PRAY ST ,10/29/14,2, OTHER
325296,46 CURTIS AVE ,QUI ,NEVADA RD ,11/18/14,2, CORROSION
325351,461 MAIN ST ,HIN ,HOBART ST ,7/17/14,2, CORROSION
325367,1904 MIDDLESEX ST ,LOW ,DINGWELL ST ,12/4/14,3, CORROSION
325468,CARMEN ST ,DOR ,VASSAR ST ,1/24/14,, EQUIPMENT
325468,CARMEN ST ,DOR ,VASSAR ST ,1/24/14,, OTHER
325498,20 WESTMORE RD ,DOR ,DEERING RD ,12/18/14,, OTHER
325618,COLLEGE RD ,NEW ,OLD COLONY RD ,11/12/14,2, NATURAL FORCE
325729,15 TURGEON AVE ,DRA ,LAKEVIEW AVE ,8/29/14,2, MATL OR WELD FAILURE
325750,801 MAIN ST ,CON ,DEE RD ,11/3/14,2, NATURAL FORCE
326151,133 WASHINGTON ST ,MAL ,KNEELAND ST ,10/25/14,2, NATURAL FORCE
326228,19 TUMELTY RD ,PEA ,SASHA CIR ,10/27/14,2, CORROSION
326251,76 THORNDIKE ST ,REV ,HASTINGS ST ,11/6/14,2, CORROSION
326336,42 KENT ST ,QUI ,CENTRE ST ,11/13/14,2, OTHER
326400,134 MONROE RD ,QUI ,DIMMOCK ST ,5/19/14,3, CORROSION
326428,5 COMMON ST ,QUI ,HILLTOP ST ,11/25/14,2, MATL OR WELD FAILURE
326428,5 COMMON ST ,QUI ,HILLTOP ST ,11/25/14,2, MATL OR WELD FAILURE
326682,20 FILBERT ST ,QUI ,DUNNS HILL RD ,12/12/14,2, CORROSION
326683,142 COMMON ST ,QUI ,REARDON ST ,12/16/14,3, CORROSION
326699,47 GERMAIN AVE ,QUI ,COMMONWEALTH AVE ,11/20/14,2, CORROSION
329398,252 WAVERLY AVE ,WAT ,LOWELL AVE ,10/14/14,2, NATURAL FORCE
329642,10 MYRTLE ST ,WAL ,MOODY ST ,6/17/14,, OTHER
329674,619 COLUMBIA RD ,DOR ,HAMLET ST ,12/16/14,, OTHER
329808,364 AUBURNDALE AVE ,NEW ,FREEMAN ST ,11/28/14,2, NATURAL FORCE
329884,3 LINCOLN ST ,NEW ,WALNUT ST ,7/2/14,2, OTHER
329985,155 WOODWARD ST ,NEW ,CARVER RD ,10/2/14,2, CORROSION
329988,7 WASHINGTON ST ,BED ,SOUTH RD ,5/21/14,2, NATURAL FORCE
330405,558 MAIN ST ,HAV ,MINOT AVE ,11/14/14,2, OTHER
330594,108 GRANT ST ,WEY ,COMMERCIAL ST ,12/8/14,2, CORROSION
331103,46 HUGHES ST ,QUI ,PEMBROKE ST ,11/13/14,2, OTHER
332434,9 HIAWATHA AVE ,WAL ,PRINCETON AVE ,7/31/14,2, NATURAL FORCE
332684,64 COPELAND ST ,QUI ,COPELAND AVE ,12/15/14,, NATURAL FORCE
333014,131 WARWICK RD ,NEW ,BUNKER LN ,11/20/14,2, NATURAL FORCE
333489,318 CALIFORNIA ST ,NEW ,DALBY ST ,5/30/14,, OTHER
333616,193 WINCHESTER ST ,NEW ,COLUMBIA AVE ,10/20/14,3, CORROSION
333616,193 WINCHESTER ST ,NEW ,COLUMBIA AVE ,10/20/14,3, CORROSION
333616,193 WINCHESTER ST ,NEW ,COLUMBIA AVE ,10/20/14,3, CORROSION
333616,193 WINCHESTER ST ,NEW ,COLUMBIA AVE ,10/20/14,3, CORROSION
333678,324 UPHAM ST ,MEL ,13TH ST ,9/5/14,, OTHER
333693,236 BRIGHTON ST ,BEL ,ALBERT AVE ,12/1/14,2, OTHER
333693,236 BRIGHTON ST ,BEL ,ALBERT AVE ,12/1/14,2, OTHER
333722,20 BEACON ST ,NEW ,MALIA TER ,5/27/14,2, NATURAL FORCE
333722,20 BEACON ST ,NEW ,MALIA TER ,5/27/14,2, OTHER
334146,589 PLEASANT ST ,DUN ,PLEASANT ST EXT ,8/19/14,2, CORROSION
334160,14 ROBERT RD ,MAR ,TULLY RD ,11/13/14,2, OTHER
334163,42 ROBERT RD ,MAR ,ARTHUR AVE ,11/7/14,2, CORROSION
334222,39 VILLAGE SQ ,CFD ,FLETCHER ST ,12/4/14,2, CORROSION
334330,15 BALDWIN RD ,CFD ,ARBUTUS AVE ,8/4/14,2, CORROSION
334809,325 GREAT RD ,BED ,CONCORD RD ,12/4/14,2, NATURAL FORCE
334887,16 UPLAND RD ,BEV ,LIVINGSTONE AVE ,6/10/14,2, OTHER
334916,433 BROAD ST ,WEY ,BROAD STPL ,4/17/14,2, CORROSION
334919,142 BROAD ST ,WEY ,VINE ST ,9/9/14,2, CORROSION
335118,412 MYSTIC ST ,ARL ,ROBIN HOOD RD ,11/12/14,2, NATURAL FORCE
335314,385 QUINCY AVE ,BRA ,DEWEY RD ,1/29/14,2, CORROSION
335351,7 LORRAINE RD ,MED ,WINTHROP ST ,11/20/14,2, OTHER
